iter	Passed	Remaining
0	139	139465
1	140	70053
2	141	46898
3	141	35348
4	142	28407
5	143	23777
6	144	20473
7	145	17981
8	145	16052
9	146	14511
10	147	13241
11	147	12182
12	148	11287
13	149	10518
14	149	9845
15	150	9256
16	151	8736
17	151	8275
18	152	7865
19	152	7493
20	153	7156
21	154	6851
22	154	6571
23	155	6315
24	155	6078
25	156	5861
26	157	5660
27	157	5472
28	158	5298
29	158	5140
30	159	4992
31	160	4853
32	161	4721
33	161	4594
34	162	4474
35	162	4362
36	163	4256
37	164	4155
38	164	4058
39	165	3967
40	165	3880
41	166	3799
42	167	3722
43	167	3648
44	168	3575
45	169	3507
46	169	3441
47	170	3377
48	170	3316
49	171	3257
50	172	3201
51	172	3146
52	173	3094
53	173	3044
54	174	2995
55	175	2950
56	175	2906
57	176	2864
58	177	2824
59	177	2785
60	178	2746
61	179	2708
62	179	2673
63	180	2638
64	181	2603
65	181	2570
66	182	2537
67	182	2501
68	183	2470
69	183	2440
70	184	2410
71	184	2382
72	185	2354
73	185	2327
74	186	2300
75	187	2275
76	187	2249
77	188	2226
78	189	2204
79	189	2182
80	190	2161
81	191	2140
82	191	2119
83	192	2098
84	192	2075
85	193	2056
86	194	2037
87	195	2025
88	196	2007
89	196	1989
90	197	1972
91	198	1958
92	199	1941
93	199	1925
94	200	1909
95	201	1893
96	201	1877
97	202	1861
98	202	1845
99	203	1830
100	204	1815
101	204	1798
102	204	1784
103	205	1770
104	206	1756
105	206	1743
106	207	1730
107	207	1717
108	208	1706
109	209	1695
110	210	1685
111	211	1673
112	211	1662
113	212	1654
114	213	1642
115	214	1631
116	214	1621
117	215	1610
118	215	1598
119	216	1587
120	217	1577
121	217	1566
122	217	1554
123	218	1543
124	219	1533
125	219	1524
126	220	1515
127	220	1504
128	221	1496
129	222	1487
130	223	1479
131	223	1470
132	224	1462
133	224	1453
134	225	1445
135	226	1438
136	227	1430
137	227	1421
138	228	1413
139	228	1404
140	229	1396
141	229	1388
142	230	1380
143	231	1373
144	231	1365
145	232	1357
146	232	1350
147	233	1343
148	233	1335
149	234	1328
150	235	1321
151	235	1314
152	236	1308
153	236	1301
154	237	1294
155	238	1288
156	238	1281
157	239	1274
158	239	1268
159	240	1262
160	240	1255
161	241	1249
162	242	1243
163	242	1237
164	243	1231
